COURT_NAME,areaOfLaw,FILED_YEAR,AVG_CASE_DURATION,AVG_TIME_TO_RESOLUTION,FASTEST_DOCKET_CLOSURE,AVG_TIME_TO_DISMISSAL,AVG_DURATION_NO_TRIAL,MTD_GRANTED_COUNT,MTD_COUNT,MTD_SUCCESS_RATE,SJ_GRANTED_COUNT,SJ_DENIED_COUNT,SJ_TOTAL_COUNT,SJ_SUCCESS_RATE,CLOSED_CASE_COUNT,OPEN_CASES,TOTAL_CASES
Kings County Supreme Court,Personal Injury and Torts,2023,664,611,2,656,51,258,727,35.49,4,8,134,36.36,1845,6587,8045
Kings County Supreme Court,Personal Injury and Torts,2024,403,361,1,356,48,137,491,27.90,2,5,42,28.57,881,6466,6981
Kings County Supreme Court,Personal Injury and Torts,Overall,830,881,1,823,55,1240,3827,32.40,96,59,1212,64.86,13607,28319,40930
Los Angeles County Superior Court,All,2020,667,637,2,644,65,229,2645,8.66,569,371,1806,74.09,6049,7611,14008
Los Angeles County Superior Court,All,2021,613,530,2,548,67,189,2433,7.77,498,311,1552,75.68,5250,7582,13138
Los Angeles County Superior Court,All,2022,537,382,1,441,65,190,1804,10.53,345,207,1232,75.82,4180,8543,12933
Los Angeles County Superior Court,All,2023,415,258,1,323,65,113,769,14.69,152,82,599,75.25,2202,12015,14216
Los Angeles County Superior Court,All,2024,462,261,2,311,64,163,940,17.34,75,40,357,76.53,3631,14144,18009
Los Angeles County Superior Court,All,Overall,534,457,1,502,65,884,8591,10.29,1639,1011,5546,75.15,21312,49895,72304
Los Angeles County Superior Court,Labor and Employment,2020,598,593,2,557,64,115,647,17.77,224,127,805,76.71,2918,4297,7412
Los Angeles County Superior Court,Labor and Employment,2021,570,488,13,482,65,101,649,15.56,191,95,616,79.25,2587,3897,6661
Los Angeles County Superior Court,Labor and Employment,2022,494,328,1,360,63,115,533,21.58,125,69,490,79.62,2229,4121,6428
Los Angeles County Superior Court,Labor and Employment,2023,340,220,1,294,63,66,341,19.35,37,21,160,78.72,1090,6599,7595
Los Angeles County Superior Court,Labor and Employment,2024,450,253,2,309,62,112,557,20.11,27,21,136,72.97,2155,6648,8903
Los Angeles County Superior Court,Labor and Employment,Overall,486,411,1,439,63,509,2727,18.67,604,333,2207,78.04,10979,25562,36999
Los Angeles County Superior Court,Personal Injury and Torts,2020,745,678,19,744,73,114,1998,5.71,345,244,1001,72.48,3131,3314,6596
Los Angeles County Superior Court,Personal Injury and Torts,2021,658,570,2,613,75,88,1784,4.93,307,216,936,73.62,2663,3685,6477
Los Angeles County Superior Court,Personal Injury and Torts,2022,580,445,3,516,71,75,1271,5.90,220,138,742,73.83,1951,4422,6505
Los Angeles County Superior Court,Personal Injury and Torts,2023,501,295,3,350,70,47,428,10.98,115,61,439,74.19,1112,5416,6621
Los Angeles County Superior Court,Personal Injury and Torts,2024,474,273,3,313,68,51,383,13.32,48,19,221,78.69,1476,7496,9106
Los Angeles County Superior Court,Personal Injury and Torts,Overall,583,507,2,570,70,375,5864,6.39,1035,678,3339,73.56,10333,24333,35305
